,lake,M1S1,M1S2,M1S3,M1S4,M1S5,M1S6,M1S7,M1S8,M2S1,M2S2,M2S3,M2S4,M2S5,M2S6,M2S7,M2S8,M3S1,M3S2,M3S3,M3S4,M3S5,M3S6,M3S7,M3S8,M4S1,M4S2,M4S3,M4S4,M4S5,M4S6,M4S7,M4S8,M5S1,M5S2,M5S3,M5S4,M5S5,M5S6,M5S7,M5S8,M6S1,M6S2,M6S3,M6S4,M6S5,M6S6,M6S7,M6S8
0,100866,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
1,92840,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
2,59185,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
3,89534,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
4,21613,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
5,40234,4,4,2,0,4,4,4,4,4,4,0,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,2,4,4,2,2,0,0,0,4,4,4
6,18012,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4
7,39745,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
8,13133,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
9,2783,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
10,4810,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
11,89370,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4
12,22498,4,4,2,0,4,4,4,4,4,4,2,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,2,0,2,2,4,4,4
13,39832,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
14,101115,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4
15,58978,4,4,2,0,4,4,4,4,4,4,0,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,2,0,0,0,4,4,4
16,58899,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
17,14306,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4
18,40063,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4
19,58646,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
20,13301,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
21,22540,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
22,37627,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,0,0,0,0,4,4,4
23,58764,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
24,39747,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
25,21408,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
26,681,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
27,15164,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
28,17173,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
29,40022,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
30,18134,4,4,2,0,4,4,4,4,4,4,0,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,2,0,0,0,4,4,4
31,38336,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
32,14939,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
33,89270,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
34,68781,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
35,97841,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
36,21727,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
37,68994,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
38,18270,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
39,17618,4,4,2,0,4,4,4,4,4,4,0,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,0,0,0,0,4,4,4
40,34200,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
41,65778,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,2,0,0,0,0,4,4,4
42,64387,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
43,11996,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
44,38645,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4
45,40028,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
46,33028,4,4,0,0,4,4,4,4,4,4,0,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,2,4,4,2,0,0,0,0,4,4,4
47,33957,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
48,30632,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,2,4,4,2,0,0,0,0,4,4,4
49,90167,4,4,2,0,4,4,4,4,4,4,2,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,2,0,0,0,4,4,4
50,99517,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
51,100895,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
52,91249,4,4,2,0,4,4,4,4,4,4,2,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,2,0,2,0,4,4,4
53,22850,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
54,97365,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
55,13162,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
56,31927,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
57,97374,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
58,101207,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
59,97341,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
60,101222,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
61,310,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
62,72891,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
63,72112,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,2,0,0,0,0,4,4,4
64,69713,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
65,98209,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
66,24726,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
67,89671,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
68,15994,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
69,90079,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
70,255,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
71,32276,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4
72,89077,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
73,37867,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
74,99635,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
75,71804,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
76,13085,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
77,100379,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
78,89660,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
79,78434,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
80,97697,4,4,2,0,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,4
81,152,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
82,38225,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
83,58785,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
84,90404,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
85,18169,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
86,89388,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
87,17936,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
88,89741,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
89,98370,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
90,775,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
91,90158,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
92,903,4,4,0,0,4,4,4,4,4,4,0,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,0,0,0,0,4,4,4
93,73145,4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,4,4,4,2,2,2,2,2,4,4,4
94,36959,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
95,78866,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
96,22457,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
97,279,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
98,997,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
99,89069,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
100,13008,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,2,4,4,0,0,0,0,0,4,4,4
101,21405,4,4,0,0,4,4,4,4,4,4,0,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,4,4,0,0,0,0,0,4,4,4
102,88755,4,4,2,0,4,4,4,4,4,4,0,2,4,4,4,4,0,2,4,4,4,4,4,4,4,4,4,4,2,4,4,0,4,4,4,4,4,4,4,4,2,0,0,0,0,4,4,4
